,Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,"CORN, GRAIN - ACRES HARVESTED",CORN-production in BU,CORN Production in Kg,BARLEY - ACRES HARVESTED,BARLEY PRODUCTION IN BU,BARLEY PRODUCTION IN Kg,RICE - ACRES HARVESTED,"RICE - PRODUCTION, MEASURED IN CWT",Rice Production in Kg,"SUGARCANE, SUGAR - ACRES HARVESTED","SUGARCANE, SUGAR - PRODUCTION, MEASURED IN TONS",SUGAR PRODUCTION in KG,WHEAT - ACRES HARVESTED,"WHEAT - PRODUCTION, MEASURED IN BU",Wheat Production measured in Kg,CATTLE,precipitation_cm,Latitude,Longitude,Corn-LUC,Corn-Farm,Corn-EUTROPHYING,Corn Total,BARLEY-LUC,Barley-Farm,BARLEY-EUTROPHYING,Barley-Total,RICE-LUC,Rice-Farm,Rice- Eutrophication,Rice-total,Sugarcane- LUC,Sugarcane-Farm,Sugarcane-Eutrophication,Sugarcane Total,Wheat-LUC,Wheat-Farm,Wheat-Eutrophication,Wheat-total,Cattle,Livestock,Crops total,Livestock- MMT,Crops-Tonnes,Crop MMT,Crop-Scope1-MMT
0,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,645,86350,3042893.729,0,0,0,0,0,0,0,0,0,334,20485,721872.3571,8678,148,32.5165255,-86.6319403,912868.1187,2434314.983,0,3347183.102,0,0,0,0,0,0,0,0,0,0,0,0,72187.23571,144374.4714,0,216561.7071,512002,512002,3563744.809,0.000512002,3563.744809,0.003563745,0.002578689
1,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,1292,109325,3852511.371,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.09929,-85.7091657,1155753.411,3082009.097,0,4237762.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4237762.508,0,4237.762508,0.004237763,0.003082009
2,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,13876,1933303,68127800.52,0,0,0,0,0,0,0,0,0,0,0,0,14589,148,32.3117968,-87.1046643,20438340.16,54502240.42,0,74940580.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860751,860751,74940580.57,0.000860751,74940.58057,0.074940581,0.05450224
3,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,2487,414272,14598560.17,0,0,0,0,0,0,0,0,0,0,0,0,6893,148,32.5801231,-86.125195,4379568.051,11678848.14,0,16058416.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406687,406687,16058416.19,0.000406687,16058.41619,0.016058416,0.011678848
4,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,34,615,21672.0283,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.8620514,-87.9915392,6501.60849,17337.62264,0,23839.23113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23839.23113,0,23.83923113,2.38392E-05,1.73376E-05
5,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.7412417,-87.6561668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,1630,159998,5638180.786,0,0,0,0,0,0,0,0,0,0,0,0,17865,148,32.1088066,-86.6402541,1691454.236,4510544.629,0,6201998.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054035,1054035,6201998.865,0.001054035,6201.998865,0.006201999,0.004510545
7,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,32.366606,-85.6660307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,1800,242975,8562213.13,0,0,0,0,0,0,0,0,0,761,0,0,12824,148,32.201002,-87.7569365,2568663.939,6849770.504,0,9418434.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756616,756616,9418434.443,0.000756616,9418.434443,0.009418434,0.006849771
9,CENSUS,2017,YEAR,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,1051,150788,5313628.947,0,0,0,0,0,0,0,0,0,0,0,0,22508,148,32.3669656,-86.3006485,1594088.684,4250903.158,0,5844991.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327972,1327972,5844991.842,0.001327972,5844.991842,0.005844992,0.004250903
